YBL039C	YGL048C
YER133W	YFR003C
YDR132C	YDR395W
YLR178C	YGR119C
YPR010C	YOR210W
YDL145C	YFL039C
YPL043W	YLR106C
YBL026W	YOL102C
YCR046C	YDL049C
YBR196C	YHR120W
YHL017W	YJL004C
YER133W	YLR115W
YLR421C	YDL147W
YNL016W	YPL190C
YKL095W	YDR416W
YDR443C	YNL288W
YKL045W	YGR218W
YIL125W	YHR169W
YER165W	YGL049C
YGR060W	YDL212W
YGL146C	YPR137W
YPR182W	YDL209C
YAR042W	YMR047C
YNL230C	YPL012W
YER022W	YNL288W
YOR361C	YLR359W
YDR188W	YMR049C
YLR335W	YOR020C
YIL066C	YBL026W
YJR045C	YJL157C
YGR002C	YNL107W
YKL018W	YLR115W
YOR362C	YMR047C
YIL131C	YJL076W
YBR176W	YNL189W
YKL095W	YDL055C
YBR142W	YOR272W
YGR254W	YBR055C
YBR278W	YLR181C
YDL126C	YBL058W
YGR095C	YDL111C
YKL060C	YDR129C
YDR331W	YDL015C
YJL074C	YLR086W
YJL111W	YDL156W
YJL173C	YDL055C
YMR235C	YHR156C
YNL317W	YDR301W
YJL034W	YLR229C
YDR298C	YKL016C
YGL096W	YOR319W
YLR259C	YJR110W
YGL092W	YGL100W
YKL006C-A	YLR026C
YBR112C	YDR043C
YJR065C	YLR370C
YOR224C	YOL005C
YLR291C	YHR020W
YJR093C	YLR115W
YNL138W	YIR001C
YOL139C	YMR125W
YGR162W	YIR001C
YKR001C	YGL130W
YDL149W	YLR065C
YOL069W	YMR294W
YHR165C	YKL173W
YGR240C	YLR212C
YKL145W	YPR108W
YDL029W	YJR065C
YGL048C	YDL147W
YML001W	YNL263C
YML098W	YGL112C
YBR290W	YDL212W
YDL017W	YNL113W
YPR033C	YFR004W
YJL164C	YNL093W
YGL092W	YLR347C
YBR109C	YGR094W
YHR089C	YDL208W
YGR218W	YDR192C
YHL043W	YMR232W
YJR117W	YDR331W
YLR229C	YOL069W
YCR072C	YHR197W
YBL105C	YGR221C
YNL118C	YML091C
YGL100W	YLR359W
YBR123C	YAL001C
YBR160W	YMR001C
YMR304W	YDL043C
YNL007C	YCL028W
YKL173W	YNL147W
YDL143W	YDL156W
YLR259C	YOR181W
YGL097W	YLR293C
YGR254W	YMR049C
YBL026W	YJL008C
YNL138W	YFL039C
YMR061W	YOL123W
YFL038C	YER157W
YBR088C	YNL290W
YGR218W	YLL060C
YBR160W	YDR212W
YER171W	YOR261C
YDL014W	YGL120C
YKL104C	YDL225W
YER009W	YER004W
YPL094C	YEL036C
YNL271C	YDR021W
YCR057C	YLR186W
YLR438C-A	YLR281C
YHL030W	YOR261C
YAL032C	YLL036C
YNL113W	YLR266C
YER022W	YGL027C
YKL145W	YDR427W
YGR182C	YPL066W
YDR404C	YPR180W
YLR421C	YIL075C
YLR044C	YML115C
YBR049C	YKR001C
YLR378C	YPL253C
YHL018W	YPL070W
YGL070C	YPR093C
YBR079C	YPR041W
YHR019C	YGL106W
YKR081C	YDR365C
YLL011W	YDR188W
YMR213W	YDR416W
YPR110C	YPR010C
YBR109C	YOR029W
YIL071C	YDL216C
YLR259C	YOR233W
YER092W	YLR052W
YEL009C	YBR198C
YBL026W	YJL124C
YER031C	YER136W
YDR328C	YLR097C
YOR151C	YOR210W
YPL131W	YPR016C
YJR045C	YHR169W
YBR055C	YDL124W
YJL141C	YOL133W
YJL203W	YNR053C
YNL118C	YDR060W
YLR175W	YGR162W
YOR362C	YMR308C
YOR151C	YER125W
YAL026C	YPL146C
YPR103W	YPL066W
YPL232W	YHR161C
YLR355C	YPL203W
YGR140W	YJR089W
YMR001C	YAL047C
YDL126C	YMR055C
YEL002C	YOR103C
YKL081W	YGL137W
YKL154W	YHR140W
YGR135W	YPR103W
YFL005W	YNL263C
YJL033W	YMR290C
YGR163W	YGR098C
YIL038C	YNL288W
YIL144W	YGR113W
YNL277W	YBR119W
YOR326W	YGL195W
YDR145W	YPR072W
YKL173W	YGL120C
YJR045C	YPR017C
YLR044C	YDL225W
YLR163C	YIL066C
YKL210W	YML112W
YJR022W	YGR091W
YJL054W	YGL177W
YBR160W	YBL105C
YLR275W	YDR378C
YFL039C	YDR334W
YEL017C-A	YNL308C
YPL140C	YDL055C
YOR151C	YGL070C
YJR045C	YLL011W
YER025W	YBL026W
YGR191W	YPL218W
YGL120C	YLR074C
YCR002C	YGR155W
YER026C	YGR060W
YMR201C	YEL037C
YGL025C	YOL130W
YCR057C	YJL109C
YPL043W	YOL077C
YBR160W	YLR223C
YHR197W	YPR016C
YNL201C	YJL058C
YBR109C	YNR035C
YGL137W	YJR070C
YLR249W	YHR066W
YER112W	YDR238C
YDL164C	YOR378W
YBR245C	YDL002C
YBR060C	YNL261W
YMR302C	YGR280C
YKR086W	YHR194W
YBR289W	YMR033W
YDR468C	YMR197C
YPR165W	YLR371W
YDL192W	YNL287W
YPR086W	YDR429C
YDR392W	YOL148C
YBR196C	YMR094W
YGR090W	YPR144C
YMR092C	YLR102C
YLR268W	YGR009C
YML062C	YNL139C
YER008C	YDR166C
YDL140C	YNL251C
YHR203C	YNL034W
YPL122C	YDR079C-A
YCR042C	YKL081W
YGL145W	YOR075W
YLR371W	YOR008C
YDL140C	YGL043W
YIL046W	YDR139C
YJR045C	YDR143C
YKL145W	YOR261C
YGR133W	YMR211W
YGL198W	YDR425W
YDR297W	YJL117W
YCR077C	YBR270C
YBL053W	YEL069C
YPR110C	YLR304C
YDL165W	YAL021C
YMR116C	YGR162W
YMR047C	YOL111C
YGR083C	YFL039C
YJR022W	YOR308C
YOR326W	YJR132W
YGR013W	YIL061C
YBR110W	YHR140W
YDL188C	YOL038W
